"PID","Name_Prefix","Name_Given","Name_Middle","Name_Sur","Name_Suffix","Sex","Race","Height","Weight","HairColor","EyeColor","DOB","Birth_Country","Address_StreetNumber","Address_StreetName","Address_StreetSuffix","Address_StreetUnit","Probation","Custody","Gang","Parole","Dead","Caution"
3131701,NA,"LYFFVXGDU","EHMDSIOZ","PBLWXMAQ","","M","H",506,145,"Brown","Brown","8/28/79","United States of America (the)","1920","XLTVXT","Ave","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2773,NA,"JVLOUCVF","ZPJSREXG","JVPEUHFF","","M","H",506,170,"Black","Brown","7/25/38","United States","3120","OSTTQPQC","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2800,NA,"PBNJKNC","ZYONYAO","CKCQHCJ","","F","W",508,145,"Brown","Blue","9/14/57","England","2108","NZEEVJHJX","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2763448,NA,"EUDRWJI","QCSRBRZMH","GLYPUN","","F","H",501,140,"Black","Brown","5/30/81","United States","00","TZAVAAZG","","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3111,NA,"ZGWPKGK","CKJHYKSRW","INTVKBEH","","M","W",602,180,"Gray","Blue","4/16/58","United States of America (the)","6713","KYWGYCBKNK","Dr","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3137,NA,"SBXRCXB","PSPALHC","PPGPTAXE","","M","B",511,215,"Black","Brown","10/7/57","United States of America (the)","3712","LHXYYJSBX","St","A",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3163,NA,"XRGKCYSX","KBKPTRDVS","TFRKZSQ","","M","W",507,180,"Brown","Blue","4/19/62","United States of America (the)","1160","OEJBHSIAQ","Way","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3251,NA,"CVLFFWKB","PYIEINPD","JLXQDEJ","","M","W",510,180,"Brown","Green","3/7/57","United States","2051 W","ZBAZAH","DR","43",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3281,NA,"EMDIPBI","YMFFQIF","HOOPSZV","","M","W",507,160,"Brown","Brown","4/3/58","United States","300","YHYKOKKA","RD","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3364,NA,"KXPYEOZ","WXPARV","HAFOVEJ","","M","W",507,150,"Red or Auburn","Brown","3/14/54","United States of America (the)","108587","QDAQS","Blvd","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3379,NA,"KSGNQTJ","FTHQAAJZO","EEBXTSMXY","","M","W",602,200,"Blonde","Blue","9/1/61","United States of America (the)","","OUSIEDJ","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3474,NA,"BGRAARDCS","RLPRYGGB","MWYZOD","","M","W",600,150,"Red or Auburn","Brown","6/16/45","United States of America (the)","1","UBTLPQRMO","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3482,NA,"NWGAXAWC","WVKGBKY","CKHQBNA","","M","W",509,260,"Brown","Green","10/29/63","United States of America (the)","","MIYABYA","","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3517,NA,"OIFJXHBLV","PTBPJQZCX","HBYZIS","","M","B",507,185,"Black","Brown","4/1/55","United States of America (the)","4424","QVZWMTDC","Blvd","7",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3596,NA,"XYFIRFDTX","SATIWI","RZNKIQHCF","","M","B",509,200,"Black","Brown","2/24/64","United States of America (the)","2117","LSTWUEU","","",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3629,NA,"YKJBRLS","SLVYSVFWK","OMMHFHCVW","","M","W",601,220,"Blonde","Blue","4/8/58","United States of America (the)","2713","QIGEILYEL","Way","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3648,NA,"GTGPCAJ","RINHJSGOZQ","GBMRGJILS","","M","W",511,225,"Gray","Blue","9/27/62","United States of America (the)","","YRYOJXFMJH","","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3692,NA,"TNKNRJO","RDRBVXTLEX","HUDQNWBP","","M","W",602,200,"Gray","Hazel","6/3/60","United States of America (the)","1330","XMMQWLKV","","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3869,NA,"XYCFZOX","YSTDQFSQ","SXFELEDJ","","M","B",509,160,"Black","Brown","4/13/58","United States of America (the)","1","ZAPVQRC","Dr","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3926,NA,"IGENFWYEJ","IKOYIWPW","ZWJEWWVC","","M","W",602,170,"Gray","Blue","11/22/56","Japan","10335","ZLQUUYPU","Rd","#26",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3974,NA,"XXGWNRRZV","EOTVH","HBZEJX","II","M","W",510,200,"Gray","Green","8/17/51","United States","8932","XOBXKTTC","Rd","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4069,NA,"YSUFACS","QPEILOV","OLBAWAPH","","M","W",602,245,"Brown","Brown","10/5/58","United States of America (the)","CSP","NZRYRHHI","","",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
4168,NA,"AFRULIBPU","DPMBQY","TYXRRF","","M","W",507,165,"Brown","Blue","9/15/58","United States","1 RR","SZXTLMXM","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4181,NA,"YZQZJEMU","LPYRMR","NUCYVPVIB","","M","W",509,265,"Brown","Brown","7/20/52","United States","6121","EHALZMUU","DR","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4266,NA,"VFXEHR","QJEMVPE","YSASDZG","JR","M","B",600,230,"Black","Brown","1/15/57","United States of America (the)","9647","TPVLWCMRW","Dr","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4416,NA,"NTKTFIA","NSNQU","XLGJIQO","","F","B",504,175,"Black","Brown","12/27/47","United States","7852","JRLDFKD","BLVD","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4496,NA,"HUWAITYI","REUJXCVY","AYETGPWJ","","M","W",508,190,"Blonde","Blue","4/15/59","United States of America (the)","7403 SE","BSLATWBFFM","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4573,NA,"IDFJLNM","SGSTSUMMJ","WQDRQYJ","","M","B",511,218,"Black","Brown","9/2/59","United States of America (the)","4449","HXJWKHUTN","St","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
4687,NA,"ORQGCHLJ","GALKUTVXF","MRSFTNS","","M","W",602,200,"Red or Auburn","Blue","10/11/61","United States","6046","UXBTCGG","WAY","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
4872,NA,"QBOTHIX","WVLR","UDJMKWN","","M","W",601,220,"Brown","Brown","1/8/57","United States","4916","ZALKJOCZK","AVE","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
4898,NA,"XGUCZO","WZNJSW","BDPLWPO","","F","W",507,170,"Blonde","Blue","3/20/50","United States of America (the)","","HFJNRUXU","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5233,NA,"ZLMAOFBBGP","MYAOWFV","ZPOIBBLWN","","F","W",504,130,"Brown","Brown","1/22/53","United States","5620","SOJNMRJGWQ","DR","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5518,NA,"ZFDHQCATM","LMZURON","DODJQEYS","","M","W",508,185,"Gray","Blue","3/22/59","United States","221","OFILOYKR","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5604,NA,"WINXHDRQF","VRRZTZERJ","HAWXGA","","M","B",507,155,"Black","Brown","2/9/56","United States of America (the)","919","NJEDKU","Ave","",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5619,NA,"NEKMTCQE","ZIIUYZFY","SKPUUAXUS","","M","B",509,195,"Black","Brown","2/8/60","United States of America (the)","4250","HEHMVFA","Blvd","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5639,NA,"RWHCODGC","KJLQZYH","RQIHXOGF","","F","B",504,135,"Brown","Brown","1/17/61","United States of America (the)","2410","RKYFOYDY","Ln","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6013,NA,"PJGXFRI","JIVWUTJ","BZQKOGFBFK","","M","H",505,150,"Brown","Brown","5/13/56","United States of America (the)","1964","ZFRWZJIC","Way","13",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6024,NA,"NOLXMBOCWQ","NEXLXLVB","CAGJDYLFI","","M","W",511,285,"Brown","Hazel","5/23/59","United States of America (the)","306","YLLTOKSH","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6049,NA,"ZLVKFDKA","MCIYQXLWTD","EOHPBCBZX","","M","B",601,160,"Black","Brown","12/31/53","United States","1010","WDLQCLADG","ST","10",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
6079,NA,"NWPOHNH","FLMXFBG","NRADUCO","","F","B",507,290,"Black","Brown","6/19/64","United States of America (the)","11228","VXLZLSZXL","Blvd","",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
6241,NA,"MCXJLTOPX","JUUCQJGAP","ZHVUDRMK","","M","B",511,170,"Black","Brown","11/26/36","United States","6068","MTOLYXUD","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6271,NA,"LVOAVHN","SUPFRJYB","QTPDFWDU","","M","H",508,150,"Black","Brown","3/2/46","United States","744","EQURCVF","","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6315,NA,"ZAPWSLC","ZEJFEK","SAZQULA","","M","B",506,177,"Black","Brown","6/12/66","United States","7421","YYUVDJVHN","PKWY","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6388,NA,"XEWUKJR","SJZBUPI","WAGSXDYCY","","F","W",503,140,"Brown","Brown","2/9/54","United States of America (the)","1321","ADVXIJISWQ","St","32",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3679357,NA,"XPYAPAB","PCGOZEF","YNEFSOUJY","","M","W",511,170,"Brown","Brown","7/31/44","United States","1621","XQNLSEZ","BLVD","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4271536,NA,"SRQRSOV","RFIYPHMO","QZEBSZTE","","M","W",602,205,"Red or Auburn","Blue","9/17/85","United States of America (the)","7100","CKSBSORJZB","Dr","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
531725,NA,"XVPJGVOG","UIGAGARQ","TTIXVYL","","M","H",504,175,"Brown","Brown","11/8/58","United States","9308","QKUDGNE","DR","",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
878636,NA,"KRDAUFP","VIUYFQGUAT","MHARXHJ","","M","W",511,240,"Brown","Brown","10/22/39","United States","2052","UUIKAPCSX","WAY","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2176258,NA,"KKMNXYUUO","OMUKIMRH","NWQNZKBK","","F","B",502,110,"Gray","Brown","3/20/56","United States of America (the)","3904","BYKFJNOR","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3490913,NA,"KADHWHHUKV","IYJIMSKAJ","SWLNFBKF","","F","W",0,0,"Unknown","Unknown","12/20/55","United States","3700","IOOMXYH","BLVD","125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
503748,NA,"WDMAYXKKO","NXKZYSYTX","PXHJACQFO","","M","B",600,185,"Black","Brown","7/31/52","United States of America (the)","841","XGWXBVRBR","Ct","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97933,NA,"HMAYLTVJY","BIURKI","WJVBWALFNM","","M","W",509,200,"Brown","Blue","12/23/54","United States","1120","BCBDWRL","","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
718403,NA,"BSRXBRUS","WHOPCWQ","USPQGOKE","","F","I",504,155,"Brown","Brown","4/7/60","United States","1949","GZYYZLA","AVE","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
535451,NA,"XBVHMECVW","RPNBWEQU","ALNVJGVF","","M","B",506,290,"Black","Brown","3/16/56","United States","2609","KVPGIUK","Way","1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
603167,NA,"MADUKFD","BVSIASOZ","CKUCVYMAAN","","M","B",600,250,"Black","Brown","6/12/61","United States of America (the)","3903","ZBKWZHAT","St","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
228196,NA,"OEXGRCB","LLQCBWU","ZMKARBMB","","M","B",602,180,"Black","Brown","3/28/66","United States of America (the)","6210","KFKAHBTI","St","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3550843,NA,"DLJZYMSVW","XVXVGGIYN","KJKWLMRLQ","","M","B",602,170,"Black","Brown","4/19/82","United States of America (the)","651","QYHWWUZ","St","",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
118860,NA,"SKCZTPCUOV","YXAWTTIR","FWYUJPGLPG","","M","W",509,200,"Brown","Blue","1/22/34","United States","715","MLWCBNDXDX","ST","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
612426,NA,"TYUAOTGY","WKVFVC","EBPUSZFDB","","M","H",509,175,"Black","Brown","12/13/49","United States of America (the)","","TMUXWAD","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1104915,NA,"UONZWGFI","ODWJNL","DQAXBCMW","","M","W",600,180,"Blonde","Blue","4/5/76","United States of America (the)","7445","GZATTWH","Way","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4176434,NA,"DBWJNAW","SFPMNC","PFMJLNKRM","","F","W",500,130,"Brown","Brown","7/12/79","United States of America (the)","600","UMIBOOXV","","9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3200871,NA,"JVTTDNAFMG","ETFWNXRW","SFYQNGH","","M","W",511,200,"Blonde","Brown","11/12/56","United States","","NZCKDF","","",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1803859,NA,"BTPKZGTT","LTWFZCKYRM","QWGIVKT","","M","W",602,230,"Red or Auburn","Blue","7/4/58","United States of America (the)","6132","ZFSNOJPMN","Ave","42",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78173,NA,"YWVCKVFH","BNYDICJ","DCIYYZTYCW","","M","B",510,135,"Black","Brown","11/6/33","United States","","JAXLCYQ","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2569682,NA,"YFOQFMWAH","LJHRBJWWER","TXNRITXQF","","M","W",507,155,"Black","Brown","9/20/75","United States of America (the)","1100","AWKYD","Ave","",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
312621,NA,"BTMMFK","MQKYTUAI","HMVQDSMQSB","","M","H",511,185,"Brown","Brown","3/17/54","United States of America (the)","3429","QQHFJTMCL","Dr","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3102732,NA,"XFHYXNEM","KLSU","GICZHPTC","","F","W",502,135,"Blonde","Blue","12/25/84","United States","7615","PQEQBFNX","WAY","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594747,NA,"ERPLJI","EHPALFWSQ","MJXYIPSMU","","M","W",602,190,"Brown","Hazel","11/13/59","United States","6225","RFNHXPH","DR","3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1790105,NA,"RMOQSHQB","VKQUHZ","QWGLOBWK","","M","W",510,195,"Gray","Brown","9/12/50","Philippines (the)","2653","JRZRNU","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
879838,NA,"IGDQDHNUL","OHSMREUUAD","TFPBCOXJF","","M","H",508,150,"Black","Brown","1/4/71","United States of America (the)","5929","AZTCINNOF","Way","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
3059752,NA,"UGDGWQJEN","NAOWB","GDZIEMFACE","","M","B",510,150,"Black","Brown","3/30/80","United States of America (the)","CAL","MJCMZYYZOK","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42450,NA,"FBMWQMZH","VMMHVN","SIXXMUQCU","","M","W",506,170,"Brown","Blue","7/8/61","United States","6544","NBLXQOAW","DR","2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
902658,NA,"LULCOOXE","FUFLXX","JZBAXJUN","","F","W",503,160,"Brown","Brown","11/11/59","United States of America (the)","708 1/2","BIQBEALS","St","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3586471,NA,"YIGRBTIIF","GMZNM","WLJVSQUSG","","M","W",602,160,"Brown","Hazel","12/16/81","United States","8902","AWMHJ","DR","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
647396,NA,"RRLULKD","RNPNWCYCG","NARZJEWY","","M","W",510,190,"Brown","Blue","12/30/48","United States of America (the)","3601","LHIAWCDKC","Way","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17620,NA,"EELVCRYGV","DYNXEBYAG","JZMWVJNIW","","M","H",511,180,"Black","Brown","8/13/60","United States","7680","PEQUMVOHV","ST","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
36516,NA,"WZWTNTDBE","GRIWDJOF","DEOOFWR","","M","W",508,150,"Brown","Hazel","11/8/60","United States of America (the)","3911","LMJOXNZWA","Ave","B",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
176364,NA,"IWMCTOMDEZ","KRCIOEBH","DPILKF","","F","W",504,215,"Brown","Brown","3/4/67","United States","3325","JVTDYRS","AVE","1",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3300130,NA,"CAYACIZO","JEESXTQKB","NIKYDNN","","M","W",602,180,"Black","Brown","12/31/88","United States","300","MHJNMHCS","RD","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930002,NA,"RBBHJMHKN","CZGVYQHNH","BQORCCXU","","M","W",511,240,"Bald","Blue","3/7/77","United States of America (the)","3916","TBYAJEPEQ","St","",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2397423,NA,"RNSAKMWSOY","BWJX","DAFIQDURC","","M","W",506,160,"Brown","Brown","5/6/55","United States","6508","VGXKJRTJF","WAY","",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2716082,NA,"KRVBFPWR","EOAK","LWDAAFXG","","M","W",510,180,"Black","Hazel","8/15/87","United States","310","GCNJUXVLKZ","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
75611,NA,"CPFUNXVCW","OWZSSYVN","PAFTLKWZW","","M","W",602,190,"Brown","Blue","10/8/71","United States of America (the)","3900","BTGTLDOU","Ave","44",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3277430,NA,"XSZBJEJG","ALFXXLBYVQ","ZCOEIU","","M","W",602,237,"Brown","Hazel","7/28/76","United States of America (the)","4218","AUEIVRJ","Dr","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
562628,NA,"EKDFBWOD","RVYEVPWYL","LQMUFQD","","M","H",506,140,"Black","Brown","10/16/61","United States of America (the)","7336","HDWDSGNC","Dr","141",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81317,NA,"AOOXJXD","FKRBGOGX","BHHSCYCY","","F","W",504,160,"Brown","Blue","7/20/59","United States","2810","ZMPNDHYR","AVE","G",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1614895,NA,"ZGPMFS","EWOFTB","LRIUIQMQLL","","M","W",602,255,"Blonde","Blue","7/25/57","United States","623 1/2","KTGPCLT","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13869,NA,"LAEXDROXJ","YUDYEHGH","VQKUGOAS","","M","W",508,200,"Gray","Brown","12/17/51","United States of America (the)","6517","BJMCBR","St","",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
4015133,NA,"AYAVBLFZV","HHMOWQYLG","NXGAFVKRX","","M","W",601,200,"Gray","Blue","2/27/54","United States","6517","JKQPHLXTQJ","ST","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3201257,NA,"PXSOQFUHV","YTQOPD","IYHWAV","","M","B",508,187,"Black","Brown","4/30/65","United States","714","FJDBKTAZY","AVE","6",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4033650,NA,"XRYBJYK","QYCTFDUKJ","WHGVQDRJML","","M","W",509,190,"Brown","Blue","2/9/82","United States of America (the)","1641","ZGQYQAGF","Ave","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3114848,NA,"ADZMZBYQ","ORMFUUDDYO","VZZTWCPPW","","M","B",508,140,"Black","Brown","3/20/79","United States of America (the)","6101","WESLNJDZR","St","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1294386,NA,"UKNEYL","IPGNRZHU","VLPHNSXT","","M","W",507,190,"Gray","Hazel","1/11/56","United States of America (the)","2430","XSFYYCMZ","Blvd","93",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
